Country,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention'
'South Sudan',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Somalia,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
'Central African Republic',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Yemen,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Sudan,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Syria,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
'Congo Democratic Republic',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Chad,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Afghanistan,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Iraq,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Haiti,Alert,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(7.75-inf)\''
Guinea,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(5.5-7.75]\''
